No.,G_N2,G_CO2,G_H2S,G_C1,G_C2,G_C3,G_C4,G_C5,G_C6,G_C7+,TR (℃),O_N2,O_CO2,O_C1,O_C2,O_C3,O_C4,O_C5,O_C6,O_C7+,MWC7+ (g/mol),EM,MMP (MPa),
145,0.19,87.38,0,7.67,0,0,0,4.76,0,0,80,0.73,15.57,23.95,8.71,8.63,6.46,3.09,3.7,29.16,153.9,1,14.06,
146,0.19,87.38,0,7.67,0,0,0,4.76,0,0,100,0.73,15.57,23.95,8.71,8.63,6.46,3.09,3.7,29.16,153.9,1,15.48,
147,0.19,87.38,0,7.67,0,0,0,4.76,0,0,60,0.13,3.98,13.4,6.61,8.57,7.6,3.84,7.35,48.52,155.9,1,8.85,
148,0.19,87.38,0,7.67,0,0,0,4.76,0,0,80,0.13,3.98,13.4,6.61,8.57,7.6,3.84,7.35,48.52,155.9,1,9.69,
149,0.19,87.38,0,7.67,0,0,0,4.76,0,0,100,0.13,3.98,13.4,6.61,8.57,7.6,3.84,7.35,48.52,155.9,1,10.7,
150,0.19,87.38,0,7.67,0,0,0,4.76,0,0,60,0.27,0.65,11.88,1.06,0.58,0.34,0.51,3.96,80.75,173.8,1,11.99,
151,0.19,87.38,0,7.67,0,0,0,4.76,0,0,80,0.27,0.65,11.88,1.06,0.58,0.34,0.51,3.96,80.75,173.8,1,13.06,
152,0.19,87.38,0,7.67,0,0,0,4.76,0,0,100,0.27,0.65,11.88,1.06,0.58,0.34,0.51,3.96,80.75,173.8,1,13.87,
153,0.19,89.08,0,7.82,0,0,0,2.91,0,0,60,0.73,15.57,23.95,8.71,8.63,6.46,3.09,3.7,29.16,153.9,1,13.01,
154,0.19,89.08,0,7.82,0,0,0,2.91,0,0,80,0.73,15.57,23.95,8.71,8.63,6.46,3.09,3.7,29.16,153.9,1,14.69,
155,0.19,89.08,0,7.82,0,0,0,2.91,0,0,100,0.73,15.57,23.95,8.71,8.63,6.46,3.09,3.7,29.16,153.9,1,16.07,
156,0.19,89.08,0,7.82,0,0,0,2.91,0,0,60,0.13,3.98,13.4,6.61,8.57,7.6,3.84,7.35,48.52,155.9,1,9.16,
